Overall_Standing,Division_Standing,Teams,Pct.
1,1,Chicago Cubs,0.64
2,1,Washington Nationals,0.586
3,1,Texas Rangers,0.586
4,1,Cleveland Indians,0.584
5,1,Boston Red Sox,0.574
6,1,Los Angeles Dodgers,0.562
7,3,Baltimore Orioles,0.549
8,2,Toronto Blue Jays,0.549
9,2,New York Mets,0.537
10,2,San Francisco Giants,0.537
11,2,Detroit Tigers,0.534
12,2,Seattle Mariners,0.531
13,2,St. Louis Cardinals,0.531
14,4,New York Yankees,0.519
15,3,Houston Astros,0.519
16,3,Kansas City Royals,0.5
17,3,Miami Marlins,0.491
18,3,Pittsburgh Pirates,0.484
19,4,Chicago White Sox,0.481
20,3,Colorado Rockies,0.463
21,4,Los Angeles Angels,0.457
22,4,Milwaukee Brewers,0.451
23,4,Philadelphia Phillies,0.438
24,4,Arizona Diamondbacks,0.426
25,5,Oakland Athletics,0.426
26,5,Atlanta Braves,0.422
27,5,Tampa Bay Rays,0.42
28,5,Cincinnati Reds,0.42
29,5,San Diego Padres,0.42
30,5,Minnesota Twins,0.364
