Leaderboard,Name,Team,ERA
1,Kyle Hendricks,Chicago Cubs,2.13
2,Jon Lester,Chicago Cubs,2.44
3,Noah Syndergaard,New York Mets,2.60
4,Madison Bumgarner,San Francisco Giants,2.74
5,Johnny Cueto,San Francisco Giants,2.79
6,Tanner Roark,Washington Nationals,2.83
7,Jose Fernandez,Miami Marlins,2.86
8,Max Scherzer,Washington Nationals,2.96
9,Aaron Sanchez,Toronto Blue Jays,3.00
10,Carlos Martinez,St. Louis Cardinals,3.04
11,Justin Verlander,Detroit Tigers,3.04
12,Masahiro Tanaka,New York Yankees,3.07
13,Jake Arrieta,Chicago Cubs,3.10
14,Corey Kluber,Cleveland Indians,3.14
15,Rick Porcello,Boston Red Sox,3.15
16,J.A. Happ,Toronto Blue Jays,3.18
17,Jose Quintana,Chicago White Sox,3.20
18,Julio Teheran,Atlanta Braves,3.21
19,Cole Hamels,Texas Rangers,3.32
20,Drew Pomeranz,Boston Red Sox,3.32
21,Chris Sale,Chicago White Sox,3.34
22,John Lackey,Chicago Cubs,3.35
23,Ervin Santana,Minnesota Twins,3.38
24,Bartolo Colon,New York Mets,3.43
25,Marco Estrada,Toronto Blue Jays,3.48
26,Kenta Maeda,Los Angeles Dodgers,3.48
27,Danny Duffy,Kansas City Royals,3.51
28,Kevin Gausman,Baltimore Orioles,3.61
29,Jerad Eickhoff,Philadelphia Phillies,3.65
30,Ian Kennedy,Kansas City Royals,3.68
31,Jake Odorizzi,Tampa Bay Rays,3.69
32,Jeremy Hellickson,Philadelphia Phillies,3.71
33,Dan Straily,Cincinnati Reds,3.76
34,Chris Tillman,Baltimore Orioles,3.77
35,Jeff Samardzija,San Francisco Giants,3.81
36,Jason Hammel,Chicago Cubs,3.83
37,CC Sabathia,New York Yankees,3.91
38,Zach Davies,Milwaukee Brewers,3.97
39,Brandon Finnegan,Cincinnati Reds,3.98
40,David Price,Boston Red Sox,3.99
41,Chris Archer,Tampa Bay Rays,4.02
42,Carlos Rodon,Chicago White Sox,4.04
43,Matt Moore,San Francisco Giants,4.08
44,Kendall Graveman,Oakland Athletics,4.11
45,Hisashi Iwakuma,Seattle Mariners,4.12
46,Ivan Nova,Pittsburgh Pirates,4.17
47,Trevor Bauer,Cleveland Indians,4.26
48,Tom Koehler,Miami Marlins,4.33
49,Collin McHugh,Houston Astros,4.34
50,Marcus Stroman,Toronto Blue Jays,4.37
